Palavra-chave de pesquisa
1 de junho de 2026 - 6 de agosto de 2026
Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Índice de qualidade,Detalhes da qualidade do anúncio (nível da campanha),Detalhes da qualidade do anúncio (nível do grupo de anúncios),CTR esper.,Relevância do anúncio,Exp. na página de destino,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,CPM médio
Orçamento táxi aéreo,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
taxi aereo,Pausado,pausado,Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
preço de uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxiaereo,Pausado,pausado,Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti no ar,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Acima da média,Na média,0,4,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
uti aerea brasilia,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",8,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Na média,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
avião uti,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,0,5,"0,00%",0,"0,00","0,00%","66,67%","0,00",0,0,0,"0,00"
avião uti preço,Pausado,pausado,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aereo uti,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",8,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Na média,0,4,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
uti aerea internacional,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aerea recife,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
preço uti aerea,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
aero medico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,0,7,"0,00%",0,"0,00","0,00%","66,67%","0,00",0,0,0,"0,00"
aero médico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aeronave uti,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aérea brasília,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aérea são paulo,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
resgate aeromedico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",1,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,9,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
remoção aeromedica,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
amil aviao,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
uti helicoptero,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Abaixo da média,0,7,"0,00%",0,"0,00","75,00%","100,00%","0,00",0,0,0,"0,00"
enfermagem aeromedica,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
custo uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,0,23,"0,00%",0,"0,00","0,00%","84,21%","0,00",0,0,0,"0,00"
iessp aeromedico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aeromédico unimed,Limitado,baixa qualidade,Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",1,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,4,"0,00%",0,"0,00","25,00%","25,00%","0,00",0,0,0,"0,00"
taxi aereo uti,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Acima da média,Abaixo da média,0,5,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
transporte aereo medico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Na média,0,13,"0,00%",0,"0,00","0,00%","72,73%","0,00",0,0,0,"0,00"
unimedaeromedica,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",1,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
uti aérea manaus,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
resgate aeromédico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",1,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,7,"0,00%",0,"0,00","25,00%","50,00%","0,00",0,0,0,"0,00"
uti aerea sao paulo,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",4,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Na média,0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
uti aerea belem,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Na média,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
uti móvel aérea preço,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Abaixo da média,0,9,"0,00%",0,"0,00","16,67%","100,00%","0,00",0,0,0,"0,00"
transporte e resgate aeromédico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
remoção aérea de pacientes,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti movel aérea preço,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aeromédico unimed,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",1,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,21,"0,00%",0,"0,00","50,00%","85,71%","0,00",0,0,0,"0,00"
taxi aereo uti movel,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,0,2,"0,00%",0,"0,00","50,00%","100,00%","0,00",0,0,0,"0,00"
uti aéreo,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",4,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Na média,0,5,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
uti aviao,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
serviço aeromédico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
aeromedico samu,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
aeromedico o que é,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",1,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,4,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
manual de transporte aeromédico,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
equipe de aeromédico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aérea quanto custa,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aerea belo horizonte,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aero medico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,8,"0,00%",0,"0,00","33,33%","66,67%","0,00",0,0,0,"0,00"
transporte aeromédico preço,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Na média,0,4,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
transporte e resgate aeromedico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
unimed aeromédica telefone,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Abaixo da média,0,2,"0,00%",0,"0,00","50,00%","100,00%","0,00",0,0,0,"0,00"
transporte aeromedico interhosp,Não qualificado,"baixa qualidade, raramente exibido",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
atendimento médico aéreo,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
contratar resgate aéreo,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aeromédico neonatal,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
contratar resgate aéreo,Pausado,"raramente exibido, pausado",Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Serviço de UTI aérea,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Helicóptero para resgate médico,Pausado,"raramente exibido, pausado",Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aeromédico pdf,Pausado,"baixa qualidade, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Avião de UTI neonatal,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Serviço aeromédico 24 horas,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Avião UTI para emergências,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Avião com UTI equipada,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Serviço médico de emergência aérea,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Remoção médica aérea,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Emergência médica aérea,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Ambulância aérea para pacientes críticos,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Resgate médico com helicóptero,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Remoção aérea para hospitais,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Ambulância Aerea 24 horas,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Como contratar ambulância aérea,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Helicóptero com UTI equipada,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
